system,question_type,n,token_F1,ROUGE_L,refusal_accuracy,nDCG@10,Recall@5
closed_book,factoid,15,0.1804,0.1698,,,
closed_book,multi_hop,5,0.1977,0.2042,,,
closed_book,unanswerable,5,,,0.8,,
bm25,factoid,15,0.3644,0.3573,,0.6033,0.7
bm25,multi_hop,5,0.3513,0.3264,,0.2109,0.3
bm25,unanswerable,5,,,1.0,,
dense,factoid,15,0.4315,0.4154,,0.7549,0.8333
dense,multi_hop,5,0.247,0.2225,,0.3313,0.4
dense,unanswerable,5,,,1.0,,
hybrid,factoid,15,0.434,0.4091,,0.7677,0.9333
hybrid,multi_hop,5,0.3759,0.2921,,0.3829,0.4
hybrid,unanswerable,5,,,1.0,,
